player1,player2,score1,score2,best_of,tournament_id,date,year
Colin Roscoe,Jackie Rea,9,6,17,753,,1982
Tommy Murphy,Clive Everton,9,4,17,753,,1982
Vic Harris,Marcus Owen,9,4,17,753,,1982
Bob Harris,Graham Cripsey,9,6,17,753,,1982
Geoff Foulds,Matt Gibson,9,3,17,753,,1982
Mick Fisher,Ian Black,9,3,17,753,,1982
Les Dodd,Ian Williamson,9,1,17,753,,1982
Cliff Wilson,Eddie McLaughlin,9,6,17,753,,1982
Rex Williams,Geoff Foulds,9,7,17,753,,1982
Mark Wildman,Colin Roscoe,9,4,17,753,,1982
Eddie Sinclair,Tommy Murphy,9,5,17,753,,1982
Tony Meo,George Scott,9,5,17,753,,1982
Paul Medati,Bernard Bennett,9,1,17,753,,1982
Jim Meadowcroft,Dennis Hughes,9,8,17,753,,1982
Dave Martin,Murdo Macleod,9,6,17,753,,1982
Billy Kelly,Jack Fitzmaurice,9,0,17,753,,1982
Joe Johnson,Vic Harris,9,8,17,753,,1982
Bob Harris,Mike Watterson,9,3,17,753,,1982
Mike Hallett,Bert Demarco,9,1,17,753,,1982
Mick Fisher,Ray Edmonds,9,8,17,753,,1982
Jim Donnelly,Chris Ross,9,5,17,753,,1982
Les Dodd,Doug French,9,7,17,753,,1982
Cliff Wilson,Willie Thorne,9,7,17,753,,1982
Jimmy White,Paul Medati,9,7,17,753,,1982
John Virgo,Billy Kelly,9,2,17,753,,1982
Dennis Taylor,Jim Meadowcroft,9,7,17,753,,1982
David Taylor,Les Dodd,9,7,17,753,,1982
John Spencer,Eddie Sinclair,9,8,17,753,,1982
Dean Reynolds,Mick Fisher,9,6,17,753,,1982
Ray Reardon,Mark Wildman,9,5,17,753,,1982
Doug Mountjoy,Pat Houlihan,9,3,17,753,,1982
Tony Meo,Graham Miles,9,4,17,753,,1982
Tony Knowles,Jim Donnelly,9,6,17,753,,1982
Alex Higgins,Dave Martin,9,7,17,753,,1982
Mike Hallett,Fred Davis,9,7,17,753,,1982
Terry Griffiths,Joe Johnson,9,1,17,753,,1982
Patsy Fagan,Bob Harris,9,6,17,753,,1982
Steve Davis,Rex Williams,9,6,17,753,,1982
Jimmy White,Cliff Wilson,9,5,17,753,,1982
John Virgo,Doug Mountjoy,9,5,17,753,,1982
John Spencer,Tony Knowles,9,6,17,753,,1982
Ray Reardon,Mike Hallett,9,8,17,753,,1982
Tony Meo,David Taylor,9,6,17,753,,1982
Alex Higgins,Dean Reynolds,9,8,17,753,,1982
Terry Griffiths,Dennis Taylor,9,7,17,753,,1982
Steve Davis,Patsy Fagan,9,3,17,753,,1982
Ray Reardon,Jimmy White,9,8,17,753,,1982
Tony Meo,John Virgo,9,6,17,753,,1982
Alex Higgins,John Spencer,9,5,17,753,,1982
Terry Griffiths,Steve Davis,9,6,17,753,,1982
Alex Higgins,Ray Reardon,9,6,17,753,,1982
Terry Griffiths,Tony Meo,9,7,17,753,,1982
Terry Griffiths,Alex Higgins,16,15,31,753,,1982
Jim Wych,Billy Kelly,5,0,9,762,,1982
Cliff Wilson,Mario Morra,5,2,9,762,,1982
Rex Williams,Chris Ross,5,0,9,762,,1982
Mark Wildman,John Dunning,5,4,9,762,,1982
Bill Werbeniuk,Paddy Morgan,5,3,9,762,,1982
Mike Watterson,Jim Donnelly,5,4,9,762,,1982
John Virgo,Ian Black,5,2,9,762,,1982
Willie Thorne,Bert Demarco,5,3,9,762,,1982
Cliff Thorburn,Paul Medati,5,1,9,762,,1982
Dennis Taylor,Ray Edmonds,5,4,9,762,,1982
David Taylor,Ian Anderson,5,1,9,762,,1982
Kirk Stevens,Eugene Hughes,5,2,9,762,,1982
John Spencer,Geoff Foulds,5,1,9,762,,1982
Eddie Sinclair,Fred Davis,5,2,9,762,,1982
Ray Reardon,Tommy Murphy,5,0,9,762,,1982
Tony Meo,Marcus Owen,5,4,9,762,,1982
Jim Meadowcroft,Bernard Bennett,5,4,9,762,,1982
Dave Martin,Matt Gibson,5,2,9,762,,1982
Perrie Mans,Eddie McLaughlin,5,2,9,762,,1982
Tony Knowles,Pat Houlihan,5,4,9,762,,1982
Frank Jonik,Doug Mountjoy,5,3,9,762,,1982
Joe Johnson,Graham Miles,5,1,9,762,,1982
Alex Higgins,Doug French,5,3,9,762,,1982
Mike Hallett,Vic Harris,5,3,9,762,,1982
Terry Griffiths,Colin Roscoe,5,1,9,762,,1982
Jack Fitzmaurice,Dessie Sheehan,5,1,9,762,,1982
Clive Everton,Patsy Fagan,5,2,9,762,,1982
Eddie Charlton,Dennis Hughes,5,2,9,762,,1982
Cliff Wilson,Tony Knowles,5,4,9,762,,1982
Mark Wildman,Perrie Mans,5,4,9,762,,1982
Jimmy White,Jim Wych,5,0,9,762,,1982
Bill Werbeniuk,Jackie Rea,5,2,9,762,,1982
John Virgo,Mike Hallett,5,2,9,762,,1982
Cliff Thorburn,Clive Everton,5,2,9,762,,1982
Dennis Taylor,David Taylor,5,1,9,762,,1982
