match_id,frame,player,score,50plus_breaks_str
82716,1,1,20,
82716,1,2,58,
82716,2,1,31,
82716,2,2,90,
82716,3,1,56,
82716,3,2,52,
82716,4,1,26,
82716,4,2,87,67
82716,5,1,0,
82716,5,2,114,67
82716,6,1,73,73
82716,6,2,65,
82716,7,1,105,64
82716,7,2,25,
82716,8,1,86,60
82716,8,2,10,
82716,9,1,84,56
82716,9,2,50,
82716,10,1,25,
82716,10,2,101,65
82716,11,1,75,
82716,11,2,33,
82716,12,1,14,
82716,12,2,92,84
82716,13,1,61,61
82716,13,2,70,
82716,14,1,31,
82716,14,2,88,64
82716,15,1,90,
82716,15,2,23,
82716,16,1,119,52
82716,16,2,8,
82716,17,1,112,"55,57"
82716,17,2,13,
82716,18,1,1,
82716,18,2,100,70
82716,19,1,16,
82716,19,2,115,76
82716,20,1,63,
82716,20,2,40,
82716,21,1,89,52
82716,21,2,4,
82716,22,1,80,
82716,22,2,20,
82716,23,1,4,
82716,23,2,109,101
82716,24,1,21,
82716,24,2,91,62
82716,25,1,90,77
82716,25,2,34,
82716,26,1,31,
82716,26,2,78,58
82716,27,1,11,
82716,27,2,100,68
82716,28,1,42,
82716,28,2,68,
82716,29,1,86,
82716,29,2,22,
82716,30,1,87,
82716,30,2,47,
82716,31,1,74,
82716,31,2,22,
82718,1,1,71,
82718,1,2,8,
82718,2,1,50,
82718,2,2,71,55
82718,3,1,31,
82718,3,2,62,
82718,4,1,69,
82718,4,2,30,
82718,5,1,73,
82718,5,2,61,
82718,6,1,34,
82718,6,2,77,52
82718,7,1,64,50
82718,7,2,52,
82718,8,1,27,
82718,8,2,79,
82718,9,1,78,
82718,9,2,28,
82718,10,1,61,
82718,10,2,34,
82718,11,1,71,
82718,11,2,85,53
82718,12,1,20,
82718,12,2,74,62
82718,13,1,72,
82718,13,2,55,
82718,14,1,24,
82718,14,2,93,61
82718,15,1,87,50
82718,15,2,6,
82718,16,1,62,
82718,16,2,56,
82717,1,1,28,
82717,1,2,71,
82717,2,1,67,50
82717,2,2,29,
82717,3,1,74,74
82717,3,2,0,
82717,4,1,53,
82717,4,2,79,
82717,5,1,60,
82717,5,2,54,
82717,6,1,112,112
82717,6,2,0,
82717,7,1,47,
82717,7,2,82,57
82717,8,1,137,137
82717,8,2,0,
82717,9,1,28,
82717,9,2,76,62
82717,10,1,19,
82717,10,2,71,
82717,11,1,69,
82717,11,2,56,
82717,12,1,115,93
82717,12,2,26,
82717,13,1,18,
82717,13,2,67,
82717,14,1,68,
82717,14,2,40,
82717,15,1,94,
82717,15,2,27,
82721,1,1,1,
82721,1,2,103,
82721,2,1,117,"60,57"
82721,2,2,6,
82721,3,1,5,
82721,3,2,105,60
82721,4,1,57,
82721,4,2,60,
82721,5,1,79,
82721,5,2,0,
82721,6,1,28,
82721,6,2,87,
82721,7,1,77,
82721,7,2,26,
82721,8,1,0,
82721,8,2,113,74
82721,9,1,57,
82721,9,2,52,
82721,10,1,70,
82721,10,2,8,
82721,11,1,56,
82721,11,2,71,53
82721,12,1,66,
82721,12,2,26,
82721,13,1,71,
82721,13,2,50,
82721,14,1,77,52
82721,14,2,36,
82721,15,1,102,
82721,15,2,10,
82719,1,1,69,54
82719,1,2,31,
82719,2,1,103,
82719,2,2,21,
82719,3,1,72,
82719,3,2,48,
82719,4,1,33,
82719,4,2,82,
82719,5,1,40,
82719,5,2,56,
82719,6,1,71,
82719,6,2,51,
82719,7,1,105,85
82719,7,2,26,
82719,8,1,48,
82719,8,2,71,
82719,9,1,107,75
82719,9,2,16,
82719,10,1,43,
82719,10,2,54,
82719,11,1,82,
82719,11,2,13,
82719,12,1,40,
82719,12,2,60,
82719,13,1,68,
82719,13,2,50,
82719,14,1,89,76
82719,14,2,1,
82722,1,1,105,54
82722,1,2,11,
82722,2,1,35,
82722,2,2,112,69
82722,3,1,60,
82722,3,2,68,
82722,4,1,93,68
82722,4,2,25,
82722,5,1,89,
82722,5,2,33,
82722,6,1,28,
82722,6,2,70,
82722,7,1,13,
82722,7,2,54,
82722,8,1,60,
82722,8,2,56,
82722,9,1,55,
82722,9,2,46,
82722,10,1,49,
82722,10,2,55,
82722,11,1,75,
82722,11,2,9,
82722,12,1,65,
82722,12,2,51,
82722,13,1,13,
82722,13,2,93,67
82722,14,1,64,
82722,14,2,29,
82722,15,1,95,
82722,15,2,37,
82720,1,1,89,
82720,1,2,16,
82720,2,1,40,
82720,2,2,84,63
82720,3,1,24,
82720,3,2,84,84
82720,4,1,76,
82720,4,2,35,
82720,5,1,57,
82720,5,2,65,
82720,6,1,69,
82720,6,2,41,
82720,7,1,78,51
82720,7,2,26,
82720,8,1,75,
82720,8,2,52,
82720,9,1,31,
82720,9,2,74,
82720,10,1,62,
82720,10,2,26,
82720,11,1,74,
82720,11,2,27,
82720,12,1,81,50
82720,12,2,15,
82720,13,1,10,
82720,13,2,118,68
82720,14,1,38,
82720,14,2,78,52
82720,15,1,26,
82720,15,2,78,77
82720,16,1,56,
82720,16,2,67,
82720,17,1,100,
82720,17,2,17,
82728,1,1,94,
82728,1,2,19,
82728,2,1,16,
82728,2,2,64,51
82728,3,1,71,
82728,3,2,47,
82728,4,1,67,
82728,4,2,37,
82728,5,1,96,55
82728,5,2,33,
82728,6,1,89,55
82728,6,2,24,
82728,7,1,17,
82728,7,2,83,
82728,8,1,131,118
82728,8,2,7,
82728,9,1,49,
82728,9,2,80,80
82728,10,1,71,
82728,10,2,32,
82728,11,1,106,"55,51"
82728,11,2,19,
82728,12,1,73,
82728,12,2,29,
82729,1,1,44,
82729,1,2,72,
82729,2,1,58,
82729,2,2,22,
82729,3,1,105,
82729,3,2,10,
82729,4,1,79,
82729,4,2,37,
82729,5,1,70,58
82729,5,2,45,
82729,6,1,92,
82729,6,2,20,
82729,7,1,28,
82729,7,2,103,
82729,8,1,31,
82729,8,2,66,
82729,9,1,40,
82729,9,2,57,
82729,10,1,127,71
82729,10,2,0,
82729,11,1,82,65
82729,11,2,38,
82729,12,1,60,
82729,12,2,50,
82729,13,1,62,
82729,13,2,74,
82729,14,1,64,64
82729,14,2,68,63
82729,15,1,42,
82729,15,2,83,58
82729,16,1,84,
82729,16,2,1,
82723,1,1,47,
82723,1,2,75,
82723,2,1,46,
82723,2,2,81,
82723,3,1,1,
82723,3,2,121,71
82723,4,1,22,
82723,4,2,76,
82723,5,1,71,
82723,5,2,47,
82723,6,1,31,
82723,6,2,86,86
82723,7,1,71,59
82723,7,2,37,
82723,8,1,67,
82723,8,2,47,
82723,9,1,28,
82723,9,2,79,
82723,10,1,80,60
82723,10,2,30,
82723,11,1,72,67
82723,11,2,43,
82723,12,1,85,
82723,12,2,21,
82723,13,1,73,
82723,13,2,44,
82723,14,1,26,
82723,14,2,80,
82723,15,1,106,71
82723,15,2,22,
82723,16,1,20,
82723,16,2,80,
82723,17,1,80,
82723,17,2,21,
82730,1,1,58,
82730,1,2,49,
82730,2,1,87,65
82730,2,2,34,
82730,3,1,66,
82730,3,2,30,
82730,4,1,17,
82730,4,2,70,
82730,5,1,59,
82730,5,2,20,
82730,6,1,91,91
82730,6,2,4,
82730,7,1,65,
82730,7,2,19,
82730,8,1,34,
82730,8,2,93,
82730,9,1,41,
82730,9,2,83,
82730,10,1,33,
82730,10,2,56,
82730,11,1,63,
82730,11,2,65,
82730,12,1,60,
82730,12,2,51,
82730,13,1,33,
82730,13,2,94,
82730,14,1,78,
82730,14,2,42,
82730,15,1,76,76
82730,15,2,26,
82727,1,1,83,58
82727,1,2,45,
82727,2,1,29,
82727,2,2,41,
82727,3,1,31,
82727,3,2,43,
82727,4,1,25,
82727,4,2,95,52
82727,5,1,16,
82727,5,2,78,
82727,6,1,56,
82727,6,2,47,
82727,7,1,124,119
82727,7,2,0,
82727,8,1,87,
82727,8,2,21,
82727,9,1,64,
82727,9,2,55,
82727,10,1,76,
82727,10,2,34,
82727,11,1,26,
82727,11,2,51,
82727,12,1,57,
82727,12,2,59,
82727,13,1,57,
82727,13,2,49,
82727,14,1,0,
82727,14,2,101,
82727,15,1,93,
82727,15,2,15,
82727,16,1,34,
82727,16,2,70,
82727,17,1,64,
82727,17,2,41,
82725,1,1,44,
82725,1,2,80,80
82725,2,1,88,57
82725,2,2,16,
82725,3,1,67,
82725,3,2,19,
82725,4,1,28,
82725,4,2,78,59
82725,5,1,58,
82725,5,2,24,
82725,6,1,44,
82725,6,2,96,55
82725,7,1,75,
82725,7,2,16,
82725,8,1,64,
82725,8,2,30,
82725,9,1,62,
82725,9,2,48,
82725,10,1,60,
82725,10,2,74,52
82725,11,1,46,
82725,11,2,65,
82725,12,1,66,
82725,12,2,28,
82725,13,1,63,
82725,13,2,18,
82725,14,1,28,
82725,14,2,89,72
82725,15,1,82,
82725,15,2,23,
82726,1,1,75,52
82726,1,2,33,
82726,2,1,86,
82726,2,2,28,
82726,3,1,91,
82726,3,2,17,
82726,4,1,38,
82726,4,2,52,
82726,5,1,18,
82726,5,2,73,
82726,6,1,127,127
82726,6,2,0,
82726,7,1,34,
82726,7,2,56,
82726,8,1,88,77
82726,8,2,30,
82726,9,1,86,
82726,9,2,16,
82726,10,1,48,
82726,10,2,61,
82726,11,1,55,
82726,11,2,58,
82726,12,1,67,
82726,12,2,46,
82726,13,1,73,
82726,13,2,18,
82726,14,1,83,
82726,14,2,37,
82724,1,1,25,
82724,1,2,63,
82724,2,1,63,
82724,2,2,14,
82724,3,1,55,
82724,3,2,44,
82724,4,1,69,
82724,4,2,45,
82724,5,1,100,
82724,5,2,30,
82724,6,1,78,
82724,6,2,37,
82724,7,1,74,
82724,7,2,22,
82724,8,1,47,
82724,8,2,67,
82724,9,1,75,
82724,9,2,25,
82724,10,1,35,
82724,10,2,63,
82724,11,1,61,
82724,11,2,31,
82724,12,1,13,
82724,12,2,61,
82724,13,1,64,
82724,13,2,71,
82724,14,1,52,
82724,14,2,43,
82743,1,1,100,67
82743,1,2,20,
82743,2,1,63,
82743,2,2,51,51
82743,3,1,0,
82743,3,2,74,
82743,4,1,77,57
82743,4,2,46,
82743,5,1,69,
82743,5,2,50,
82743,6,1,20,
82743,6,2,97,56
82743,7,1,66,54
82743,7,2,44,
82743,8,1,9,
82743,8,2,69,51
82743,9,1,7,
82743,9,2,123,101
82743,10,1,132,132
82743,10,2,0,
82743,11,1,31,
82743,11,2,62,
82743,12,1,79,74
82743,12,2,17,
82743,13,1,81,56
82743,13,2,44,
82743,14,1,7,
82743,14,2,44,
82743,15,1,61,
82743,15,2,58,
82741,1,1,34,
82741,1,2,55,
82741,2,1,92,57
82741,2,2,19,
82741,3,1,80,56
82741,3,2,25,
82741,4,1,67,56
82741,4,2,45,
82741,5,1,15,
82741,5,2,78,
82741,6,1,65,
82741,6,2,56,
82741,7,1,92,
82741,7,2,34,
82741,8,1,29,
82741,8,2,77,56
82741,9,1,106,50
82741,9,2,1,
82741,10,1,60,56
82741,10,2,63,
82741,11,1,5,
82741,11,2,88,57
82741,12,1,82,
82741,12,2,49,
82741,13,1,12,
82741,13,2,83,
82741,14,1,90,
82741,14,2,0,
82741,15,1,72,
82741,15,2,11,
82744,1,1,78,
82744,1,2,34,
82744,2,1,75,
82744,2,2,39,
82744,3,1,96,
82744,3,2,7,
82744,4,1,71,
82744,4,2,16,
82744,5,1,73,
82744,5,2,32,
82744,6,1,67,
82744,6,2,42,
82744,7,1,1,
82744,7,2,62,
82744,8,1,86,
82744,8,2,37,
82744,9,1,67,58
82744,9,2,45,
82744,10,1,107,50
