player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage,tournament_id
Mark Allen,Ricky Walden,7,1580,1418,0.7099919234270913,0.5998883688639983,501,313,3345,1869,539,328,3930,2171,41,24,985,596,45,25,1032,557,0,4,1.0,0.0,1063
Stephen Maguire,Judd Trump,7,1563,1551,0.516401329564288,0.5074994375506203,663,444,4995,2838,521,340,3566,2056,128,83,1272,739,122,79,1344,782,1,4,1.0,0.19999999999999996,1063
Mark Selby,Steve Davis,7,1592,1246,0.8787157914455135,0.7037042379997707,736,495,5330,3063,1351,886,11510,6584,16,10,1443,875,8,2,581,286,4,1,0.0,0.8,1063
Neil Robertson,Ali Carter,7,1546,1544,0.5027343522137269,0.5012499973958399,621,402,4581,2585,683,409,4942,2719,65,41,1382,815,11,5,876,499,4,0,0.0,1.0,1063
Stuart Bingham,Ronnie O'Sullivan,7,1488,1663,0.2751060630015586,0.3923368301671083,744,462,5592,3158,1006,762,8914,5399,96,60,1203,680,71,46,674,431,2,4,1.0,0.33333333333333337,1063
Ding Junhui,Dominic Dale,7,1520,1358,0.7099919234270913,0.5998883688639983,511,336,3771,2140,671,384,5047,2683,25,17,1136,674,46,26,851,438,4,2,0.0,0.6666666666666666,1063
Barry Hawkins,John Higgins,7,1499,1507,0.489063958143771,0.4950001666600003,651,398,4692,2602,1088,774,8991,5314,57,34,1223,697,68,41,944,554,4,1,0.0,0.8,1063
Shaun Murphy,Marco Fu,7,1479,1507,0.46178117660461016,0.48250714233361025,695,446,5259,2964,616,363,4657,2519,85,52,1213,673,73,43,1054,600,1,4,1.0,0.19999999999999996,1063
Mark Selby,Judd Trump,11,1592,1551,0.5690050896591118,0.5256025883246178,736,495,5330,3063,521,340,3566,2056,16,10,1443,875,122,79,1344,782,1,6,1.0,0.1428571428571429,1063
Neil Robertson,Ricky Walden,11,1546,1418,0.7059926256230133,0.5793242521487495,621,402,4581,2585,539,328,3930,2171,65,41,1382,815,45,25,1032,557,6,3,0.0,0.6666666666666666,1063
Marco Fu,Ronnie O'Sullivan,11,1507,1663,0.25476985080673775,0.4037173007032121,616,363,4657,2519,1006,762,8914,5399,73,43,1054,600,71,46,674,431,0,6,1.0,0.0,1063
Barry Hawkins,Ding Junhui,11,1499,1520,0.4645191152938194,0.48687801381775675,651,398,4692,2602,511,336,3771,2140,57,34,1223,697,25,17,1136,674,5,6,1.0,0.4545454545454546,1063
Judd Trump,Neil Robertson,11,1551,1546,0.5084588118089964,0.5031249593105316,521,340,3566,2056,621,402,4581,2585,122,79,1344,782,65,41,1382,815,6,4,0.0,0.6,1063
Ding Junhui,Ronnie O'Sullivan,11,1520,1663,0.27262692166823665,0.4115648798723618,511,336,3771,2140,1006,762,8914,5399,25,17,1136,674,71,46,674,431,4,6,1.0,0.4,1063
Judd Trump,Ronnie O'Sullivan,19,1551,1663,0.26850785507112207,0.43045377606077095,521,340,3566,2056,1006,762,8914,5399,122,79,1344,782,71,46,674,431,7,10,1.0,0.4117647058823529,1063
Ding Junhui,Wang Zepeng,11,1526,985,0.986675170010462,0.7945380470706461,514,338,3798,2154,8,3,40,14,52,31,1163,688,0,0,40,14,5,6,1.0,0.4545454545454546,1058
Liang Wenbo,Zhou Yuelong,11,1429,1134,0.8920712523878022,0.6764489333484796,355,208,2424,1331,32,14,191,91,49,27,786,447,27,12,191,91,2,6,1.0,0.25,1058
Sydney Wilson,Ben Woollaston,11,1110,1379,0.12912052326181833,0.33793727519360117,99,41,541,254,356,206,2338,1260,30,18,251,138,50,27,792,441,3,6,1.0,0.33333333333333337,1058
