player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage,tournament_id
Chen Zifan,Gao Le,7,1026,961,0.5880916350836762,0.5405358392737893,25,11,144,64,4,0,20,4,20,5,132,58,0,0,20,4,4,0,0.0,1.0,1079
Niu Zhuang,Meng Jing,7,1013,1000,0.5177671819164105,0.5081242849062608,21,7,118,45,0,0,0,0,17,7,85,30,0,0,0,0,4,0,0.0,1.0,1079
Ji Zhijun,Long Zehuang,7,1003,977,0.5354968818114487,0.5162442810620724,6,2,32,14,6,2,33,11,0,0,21,8,6,2,33,11,4,0,0.0,1.0,1079
Guan Zhen,Maihe Muti,7,1097,971,0.6667467241528153,0.5781052328843092,25,15,132,73,5,1,26,7,12,6,105,61,0,0,26,7,4,2,0.0,0.6666666666666666,1079
Chen Zhe,Feng Zeyuan,7,1175,978,0.7491668212476215,0.6206951913643555,158,80,964,483,8,1,42,14,43,22,419,193,6,2,42,14,4,2,0.0,0.6666666666666666,1079
Wang Zepeng,Zhou Fei,7,1074,1000,0.6000303895586184,0.5461185410457796,30,14,168,80,0,0,0,0,42,22,154,76,0,0,0,0,4,1,0.0,0.8,1079
Cao Yupeng,Liu Jiaming,7,1242,967,0.8247679763275149,0.665410558746814,175,88,1276,644,10,2,58,21,146,68,662,320,13,6,54,21,4,3,0.0,0.5714285714285714,1079
Li Yujin,Yan Bingtao,7,945,1205,0.1884511572375342,0.34298953732650117,10,1,54,16,33,17,223,116,5,1,38,10,85,40,223,116,4,2,0.0,0.6666666666666666,1079
Zhou Yuelong,Corey Deuel,7,1300,975,0.8642241097139457,0.6926419831347361,80,41,538,278,4,0,23,7,244,130,460,245,13,5,23,7,4,2,0.0,0.6666666666666666,1079
Wang Yuchen,Wang Shi,7,1013,967,0.5626145694127913,0.5287183569514396,24,7,144,53,3,0,13,1,28,9,108,42,0,0,13,1,4,2,0.0,0.6666666666666666,1079
Li Yuan,Cai Jianzhong,7,1072,1083,0.48496472766542054,0.4931254332354657,23,12,120,59,27,13,155,75,15,10,74,39,18,10,100,53,4,3,0.0,0.5714285714285714,1079
Zhang Yong,Ye Shaojun,7,1023,993,0.5409388610739393,0.5187412158785352,29,10,170,68,1,0,4,0,77,30,137,53,0,0,4,0,4,0,0.0,1.0,1079
Mei Xiwen,Li Weixue,7,1147,998,0.6946979044907379,0.5920629281648192,40,19,266,127,1,0,7,3,10,6,90,45,0,0,7,3,4,0,0.0,1.0,1079
Fang Xiongman,Zhang Yadong,7,1065,987,0.6053054839891849,0.5485961085831343,25,11,140,66,11,3,61,25,28,12,126,60,0,0,44,17,4,0,0.0,1.0,1079
Cao Xinlong,Tang Li,7,1032,1000,0.5436568604546561,0.5199893401555818,49,13,319,118,0,0,0,0,22,4,240,88,0,0,0,0,4,1,0.0,0.8,1079
Gary Wilson,Li Jiahao,7,1354,1000,0.883921914952807,0.7078572714244814,314,185,2024,1106,0,0,0,0,264,137,819,438,0,0,0,0,4,0,0.0,1.0,1079
Mark Williams,Pan Weixing,7,1562,1007,0.966766457931315,0.8001928324515694,1171,770,9081,5200,17,7,94,41,459,280,1361,796,9,5,65,29,4,1,0.0,0.8,1079
Thepchaiya Un-Nooh,Li Ningning,7,1413,997,0.9186926090001315,0.7388500060842489,218,126,1576,841,3,1,14,5,347,193,927,495,9,4,14,5,4,0,0.0,1.0,1079
Craig Steadman,Qi Guoxiao,7,1283,996,0.834882617465889,0.6720562626502714,358,200,2376,1261,1,0,5,1,189,87,744,368,5,1,5,1,4,3,0.0,0.5714285714285714,1079
Elliot Slessor,Lee Tszho,7,1177,1000,0.7271505015076656,0.6088545692109504,95,40,566,260,0,0,0,0,148,74,445,204,0,0,0,0,4,1,0.0,0.8,1079
Cheng Sihong,He Wenchong,7,1001,988,0.5177671819164105,0.5081242849062608,6,2,32,13,1,0,4,0,7,3,32,13,4,0,4,0,4,1,0.0,0.8,1079
Xu Si,Wong Yunshing,7,993,1000,0.4904306643721704,0.4956251116502266,9,3,49,16,0,0,0,0,5,1,49,16,0,0,0,0,4,1,0.0,0.8,1079
Lin Shuai,Qin Ge,7,1079,1000,0.6066210971235376,0.5492151291013335,34,16,200,92,0,0,0,0,52,23,159,71,0,0,0,0,4,2,0.0,0.6666666666666666,1079
Ahmed Saif,Long Yun,7,956,976,0.4726790179572131,0.4875026035157896,38,8,226,67,3,0,15,3,42,14,212,66,0,0,11,3,4,0,0.0,1.0,1079
Pa Ruke,Feng Yu,7,1030,1002,0.5382188233953898,0.5174928576663897,15,5,89,41,5,3,29,14,12,6,66,32,0,0,29,14,4,0,0.0,1.0,1079
Ju Reti,Song Yang,7,1165,970,0.7470110120975012,0.6195173196470847,28,19,153,90,4,0,22,6,4,0,123,72,5,1,22,6,4,2,0.0,0.6666666666666666,1079
Dechawat Poomjaeng,Ma Tingpeng,7,1310,1001,0.8523649112589072,0.6840614456522569,201,111,1445,739,15,5,81,35,232,118,1003,527,6,2,53,21,4,1,0.0,0.8,1079
Barry Pinches,Pang Junxu,7,1182,971,0.7639640378992283,0.6288998381516232,699,360,5494,2842,9,2,46,15,135,49,590,263,6,2,46,15,4,2,0.0,0.6666666666666666,1079
