player1,player2,best_of,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,match_result,win_percentage
Long Zehuang,Haydon Pinhey,7,0.7192100641468833,0.6046790847140093,78,39,443,225,115,52,610,288,178,99,284,147,121,57,347,168,0.0,0.5714285714285714
Andrew Pagett,Wang Yuchen,7,0.5,0.5,352,153,2250,1055,100,37,626,268,144,65,417,170,74,38,158,89,1.0,0.19999999999999996
Ben Mertens,Daniel Womersley,7,0.6994442564412617,0.5944759307482401,107,50,642,322,109,53,551,266,136,67,471,240,86,40,180,89,1.0,0.19999999999999996
Jimmy White,Paul Deaville,7,0.5612649493584694,0.528095374408387,1577,844,13093,6755,32,17,158,79,85,31,384,153,97,51,126,66,0.0,0.5714285714285714
Alexander Ursenbacher,Mostafa Dorgham,7,0.8213053995393751,0.6631804950993565,286,129,1728,829,25,5,164,53,113,56,400,196,108,41,154,53,0.0,0.8
Chris Totten,Robbie Mcguigan,7,0.5800831913605062,0.5368082899889803,103,37,590,241,72,26,341,148,116,63,204,110,64,28,205,91,0.0,0.5714285714285714
Zak Surety,Haris Tahir,7,0.7832046596270481,0.6399160967377342,260,119,1496,716,19,11,117,59,161,83,509,252,92,47,117,59,1.0,0.4285714285714286
Ishpreet Singh Chadha,Florian Nüßle,7,0.5382188233953898,0.5174928576663897,50,28,298,156,77,36,410,212,155,75,298,156,47,26,194,116,0.0,0.8
Amir Sarkhosh,Cheung Ka Wai,7,0.3802964135005039,0.4446033516794108,37,16,238,118,33,20,193,113,67,29,113,53,87,43,193,113,0.0,0.6666666666666666
Bulcsú Révész,Iulian Boiko,7,0.4225943374899878,0.4644351620161461,24,11,163,77,110,42,616,269,112,54,163,77,139,67,382,192,0.0,0.5714285714285714
Liam Pullen,Mink Nutcharut,7,0.7134663824052628,0.6016871801828567,53,24,319,148,48,5,273,81,104,46,277,126,79,23,272,81,0.0,0.8
Ross Muir,Manasawin Phetmalaikul,7,0.8195570476403493,0.6620627248063988,294,117,1861,854,59,17,330,128,121,52,456,212,74,20,185,68,1.0,0.4285714285714286
Stan Moody,Dylan Emery,7,0.4740429597229285,0.4881272322437472,61,24,360,166,131,59,744,363,135,67,324,151,162,81,470,233,0.0,0.6666666666666666
Joshua Cooper,Oliver Lines,7,0.16594462836628132,0.32849496577459414,70,29,364,168,384,185,2307,1127,60,29,111,51,143,63,515,247,1.0,0.33333333333333337
Jamie Gardiner,Peifan Lei,7,0.21778339730367313,0.36066016324693406,0,0,0,0,120,55,706,334,0,0,0,0,80,38,309,143,1.0,0.4285714285714286
Antoni Kowalski,Hammad Miah,7,0.402614530473413,0.4551211076264199,47,24,255,131,294,118,1876,848,98,51,131,71,101,41,427,194,0.0,0.5714285714285714
Jiang Jun,Huang Jiahao,7,0.7415764082537253,0.6165665045213193,36,14,250,119,33,11,182,76,157,77,250,119,43,12,79,36,0.0,0.5714285714285714
Artemijs Zizins,Duane Jones,7,0.31128429594529594,0.41095956594133487,18,11,97,53,331,149,1975,961,97,53,97,53,121,60,413,197,1.0,0.33333333333333337
Michael Holt,Reanne Evans,7,0.8832805083358919,0.707340014518073,1016,572,7048,3716,218,61,1227,463,73,32,336,170,71,16,276,76,0.0,1.0
Louis Heathcote,Anton Kazakov,7,0.8591236298223967,0.6889039179769546,205,94,1194,583,51,10,295,98,165,84,513,249,99,39,273,89,0.0,0.5714285714285714
Ma Hailong,Allan Taylor,7,0.3907515745539448,0.4495472886604723,41,13,267,115,453,208,2670,1281,132,60,267,115,158,84,448,204,0.0,1.0
Andrew Higginson,Kreishh Gurbaxani,7,0.8186786074572163,0.6615031592029526,884,505,6133,3316,26,9,144,65,119,56,463,245,80,36,121,55,1.0,0.19999999999999996
Siripaporn Nuanthakhamjan,Liam Graham,7,0.3270849790417103,0.4188490357106063,22,0,127,23,54,16,297,115,59,8,127,23,83,29,218,75,1.0,0.4285714285714286
Dean Young,Liam Davies,7,0.4360365854867152,0.4706587499542144,110,41,571,237,50,24,294,138,85,31,356,142,97,47,268,128,1.0,0.33333333333333337
Ian Burns,Joel Connolly Jnr,7,0.8453785395674661,0.679178699175393,503,245,3164,1568,8,1,40,11,119,54,459,212,15,7,40,11,1.0,0.4285714285714286
Mark Joyce,Thor Chuan Leong,7,0.5545057991359679,0.52497918747894,643,329,4444,2233,190,70,1183,525,137,72,461,229,129,62,270,139,1.0,0.4285714285714286
Ahmed Aly Elsayed,Gong Chenzhi,7,0.12941739564940624,0.3025888856041177,23,0,111,14,30,16,206,106,64,9,111,14,119,59,206,106,1.0,0.0
Mitchell Mann,Alfie Burden,7,0.40526420278841824,0.45636131276292113,384,174,2314,1091,814,422,5774,2930,79,40,284,127,127,63,452,213,1.0,0.4285714285714286
Simon Blackwell,Stuart Carrington,7,0.3112842959452959,0.4109595659413348,67,34,338,178,519,275,3276,1704,105,58,132,70,131,67,464,228,0.0,0.5714285714285714
Julien Leclercq,Farakh Ajaib,7,0.5314106943491967,0.5143710406970602,76,33,420,194,156,67,848,389,127,55,345,156,90,51,296,144,1.0,0.4285714285714286
Fan Zhengyi,Liam Pullen,7,0.8340553716337187,0.6715050342254059,194,86,1238,576,53,24,319,148,224,123,737,390,104,46,277,126,0.0,0.6666666666666666
Long Zehuang,Sanderson Lam,7,0.660530062626431,0.5750535485557879,78,39,443,225,279,111,1689,744,178,99,284,147,116,48,527,248,0.0,1.0
