player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage
Cao Yupeng,Jiang Jun,9,1411,1044,0.9180156886314788,0.7145324397353954,341,179,2302,1187,6,2,32,17,175,98,446,242,32,17,32,17,5,0,0.0,1.0
Zhou Yuelong,Siripaporn Nuanthakhamjan,9,1384,965,0.9431194043528308,0.7402945416674501,459,272,2879,1548,3,0,23,4,245,118,808,430,23,4,23,4,5,2,0.0,0.7142857142857143
Wu Yize,Allan Taylor,9,1342,1237,0.6569871207564459,0.5652507475670999,78,37,552,278,421,194,2449,1172,151,78,404,215,101,49,336,147,5,3,0.0,0.625
Ben Woollaston,Oliver Brown,9,1412,1146,0.8453183804092873,0.660382673079216,803,454,5053,2683,259,116,1391,660,163,85,534,282,91,35,235,97,5,2,0.0,0.7142857142857143
Mark Williams,Andres Petrov,9,1611,1045,0.9822351162320474,0.8045533772735622,1751,1151,12775,7339,51,18,304,127,281,170,1112,649,79,25,167,61,5,2,0.0,0.7142857142857143
Michael White,Andrew Pagett,9,1367,1144,0.8035658834232549,0.6358738914270539,674,371,4352,2267,324,143,2067,981,133,66,524,273,133,60,280,111,5,3,0.0,0.625
Daniel Wells,Matthew Stevens,9,1377,1407,0.4539653256740722,0.4812587841214648,494,247,3225,1611,1103,638,8355,4536,147,83,381,209,160,87,516,273,5,1,0.0,0.8333333333333334
Chris Wakelin,Mink Nutcharut,9,1435,977,0.957463105382579,0.7585964618789349,361,193,2337,1201,26,2,145,42,252,145,620,326,78,23,144,42,5,2,0.0,0.7142857142857143
Thepchaiya Un-Nooh,Thor Chuan Leong,9,1448,1206,0.8228339524244989,0.6467993925579857,531,310,3671,1956,159,57,987,433,177,102,584,311,44,27,74,47,5,2,0.0,0.7142857142857143
Judd Trump,Lukas Kleckers,9,1586,1251,0.8986455903223913,0.6979384260080908,1376,979,9380,5647,203,84,1153,516,356,218,1419,868,131,66,436,204,5,1,0.0,0.8333333333333334
Elliot Slessor,David Lilley,9,1290,1276,0.5215222176025543,0.5087491068802403,326,155,2006,970,227,113,1336,674,174,92,481,236,124,57,467,228,5,0,0.0,1.0
Ishpreet Singh Chadha,Anthony McGill,9,1154,1475,0.11085851449144153,0.3094909987724293,18,13,85,58,727,433,4826,2627,85,58,85,58,196,108,743,403,5,4,0.0,0.5555555555555556
Yuan Sijun,Ross Muir,9,1424,1259,0.7369488869894564,0.6016871801828567,232,118,1462,743,266,106,1666,769,107,59,493,276,104,52,388,202,5,1,0.0,0.8333333333333334
Xu Si,Anton Kazakov,9,1341,973,0.9185703259642153,0.7150421057009898,169,68,1072,486,26,3,153,47,126,65,390,189,77,24,153,47,5,3,0.0,0.625
Matthew Selt,Sean O'Sullivan,9,1406,1080,0.892610072559661,0.6931739493259501,833,450,5357,2787,268,101,1667,735,361,185,885,454,92,34,198,80,5,3,0.0,0.625
Mark Selby,Andy Lee,9,1591,1122,0.9609065781312953,0.763596605159627,1500,1028,10722,6248,186,82,1112,509,409,230,1258,712,90,33,212,95,5,0,0.0,1.0
Noppon Saengkham,Andrew Higginson,9,1449,1352,0.6456229970128096,0.5603296426885532,421,219,2862,1439,858,496,5953,3234,256,137,629,333,128,70,403,218,5,3,0.0,0.625
Neil Robertson,Ryan Thomerson,9,1452,978,0.9623914315165903,0.7658456258197971,1220,814,9010,5189,57,15,335,129,212,105,925,525,86,33,164,60,5,0,0.0,1.0
Jackson Page,Liu Hongyu,9,1355,1131,0.8046121832928468,0.6364525402815664,167,82,1064,524,17,11,83,51,148,79,509,262,40,26,83,51,5,3,0.0,0.625
Ronnie O'Sullivan,Ken Doherty,9,1614,1246,0.9185703259642153,0.7150421057009898,1471,1120,12690,7745,1269,739,10005,5404,143,87,1049,622,137,63,384,168,5,1,0.0,0.8333333333333334
Martin O'Donnell,David Grace,9,1313,1311,0.5030761398318634,0.5012499973958399,468,234,2901,1465,461,216,3004,1462,79,42,360,183,142,68,424,204,5,2,0.0,0.7142857142857143
Joe O'Connor,Dean Young,9,1387,1076,0.8819527499348307,0.6851410567502929,247,119,1578,784,85,34,434,187,187,101,554,285,127,59,331,136,5,0,0.0,1.0
Robert Milkins,Zak Surety,9,1414,1220,0.7716906952520353,0.6189278548001903,1097,637,7616,4085,223,100,1261,598,420,213,811,413,106,47,360,164,5,2,0.0,0.7142857142857143
Hammad Miah,Andy Hicks,9,1220,1250,0.4539653256740722,0.4812587841214648,263,105,1690,762,743,391,5700,2915,101,44,386,188,108,51,395,174,5,3,0.0,0.625
Ben Mertens,Shaun Murphy,9,1251,1588,0.10004907346170727,0.30100851649095206,77,38,449,231,1321,872,9536,5427,174,97,321,171,304,188,932,539,5,2,0.0,0.7142857142857143
Stephen Maguire,Manasawin Phetmalaikul,9,1387,1000,0.928553794342766,0.7246209144181192,1166,753,8477,4762,39,16,210,94,118,59,568,295,43,25,90,44,5,2,0.0,0.7142857142857143
