player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage
Cao Yupeng,Jiang Jun,9,1411,1044,0.9180156886314788,0.7145324397353954,341,179,2302,1187,6,2,32,17,175,98,446,242,32,17,32,17,5,0,0.0,1.0
Siripaporn Nuanthakhamjan,Zhou Yuelong,9,965,1384,0.056880595647169185,0.2597054583325499,3,0,23,4,459,272,2879,1548,23,4,23,4,245,118,808,430,2,5,1.0,0.2857142857142857
Wu Yize,Allan Taylor,9,1342,1237,0.6569871207564459,0.5652507475670999,78,37,552,278,421,194,2449,1172,151,78,404,215,101,49,336,147,5,3,0.0,0.625
Ben Woollaston,Oliver Brown,9,1412,1146,0.8453183804092873,0.660382673079216,803,454,5053,2683,259,116,1391,660,163,85,534,282,91,35,235,97,5,2,0.0,0.7142857142857143
Andres Petrov,Mark Williams,9,1045,1611,0.0177648837679526,0.19544662272643776,51,18,304,127,1751,1151,12775,7339,79,25,167,61,281,170,1112,649,2,5,1.0,0.2857142857142857
Michael White,Andrew Pagett,9,1367,1144,0.8035658834232549,0.6358738914270539,674,371,4352,2267,324,143,2067,981,133,66,524,273,133,60,280,111,5,3,0.0,0.625
Matthew Stevens,Daniel Wells,9,1407,1377,0.5460346743259278,0.5187412158785352,1103,638,8355,4536,494,247,3225,1611,160,87,516,273,147,83,381,209,1,5,1.0,0.16666666666666663
Chris Wakelin,Mink Nutcharut,9,1435,977,0.957463105382579,0.7585964618789349,361,193,2337,1201,26,2,145,42,252,145,620,326,78,23,144,42,5,2,0.0,0.7142857142857143
Thor Chuan Leong,Thepchaiya Un-Nooh,9,1206,1448,0.17716604757550114,0.3532006074420143,159,57,987,433,531,310,3671,1956,44,27,74,47,177,102,584,311,2,5,1.0,0.2857142857142857
Lukas Kleckers,Judd Trump,9,1251,1586,0.10135440967760867,0.30206157399190925,203,84,1153,516,1376,979,9380,5647,131,66,436,204,356,218,1419,868,1,5,1.0,0.16666666666666663
David Lilley,Elliot Slessor,9,1276,1290,0.47847778239744565,0.49125089311975967,227,113,1336,674,326,155,2006,970,124,57,467,228,174,92,481,236,0,5,1.0,0.0
Anthony McGill,Ishpreet Singh Chadha,9,1475,1154,0.8891414855085585,0.6905090012275708,727,433,4826,2627,18,13,85,58,196,108,743,403,85,58,85,58,4,5,1.0,0.4444444444444444
Yuan Sijun,Ross Muir,9,1424,1259,0.7369488869894564,0.6016871801828567,232,118,1462,743,266,106,1666,769,107,59,493,276,104,52,388,202,5,1,0.0,0.8333333333333334
Anton Kazakov,Xu Si,9,973,1341,0.08142967403578483,0.2849578942990102,26,3,153,47,169,68,1072,486,77,24,153,47,126,65,390,189,3,5,1.0,0.375
Sean O'Sullivan,Matthew Selt,9,1080,1406,0.10738992744033904,0.3068260506740499,268,101,1667,735,833,450,5357,2787,92,34,198,80,361,185,885,454,3,5,1.0,0.375
Mark Selby,Andy Lee,9,1591,1122,0.9609065781312952,0.763596605159627,1500,1028,10722,6248,186,82,1112,509,409,230,1258,712,90,33,212,95,5,0,0.0,1.0
Noppon Saengkham,Andrew Higginson,9,1449,1352,0.6456229970128096,0.5603296426885532,421,219,2862,1439,858,496,5953,3234,256,137,629,333,128,70,403,218,5,3,0.0,0.625
Neil Robertson,Ryan Thomerson,9,1452,978,0.9623914315165903,0.7658456258197971,1220,814,9010,5189,57,15,335,129,212,105,925,525,86,33,164,60,5,0,0.0,1.0
Liu Hongyu,Jackson Page,9,1131,1355,0.19538781670715322,0.3635474597184336,17,11,83,51,167,82,1064,524,40,26,83,51,148,79,509,262,3,5,1.0,0.375
Ronnie O'Sullivan,Ken Doherty,9,1614,1246,0.9185703259642152,0.7150421057009898,1471,1120,12690,7745,1269,739,10005,5404,143,87,1049,622,137,63,384,168,5,1,0.0,0.8333333333333334
David Grace,Martin O'Donnell,9,1311,1313,0.4969238601681366,0.49875000260416014,461,216,3004,1462,468,234,2901,1465,142,68,424,204,79,42,360,183,2,5,1.0,0.2857142857142857
Dean Young,Joe O'Connor,9,1076,1387,0.11804725006516925,0.3148589432497071,85,34,434,187,247,119,1578,784,127,59,331,136,187,101,554,285,0,5,1.0,0.0
Zak Surety,Robert Milkins,9,1220,1414,0.22830930474796474,0.3810721451998097,223,100,1261,598,1097,637,7616,4085,106,47,360,164,420,213,811,413,2,5,1.0,0.2857142857142857
Hammad Miah,Andy Hicks,9,1220,1250,0.4539653256740722,0.4812587841214648,263,105,1690,762,743,391,5700,2915,101,44,386,188,108,51,395,174,5,3,0.0,0.625
Shaun Murphy,Ben Mertens,9,1588,1251,0.8999509265382928,0.698991483509048,1321,872,9536,5427,77,38,449,231,304,188,932,539,174,97,321,171,2,5,1.0,0.2857142857142857
Stephen Maguire,Manasawin Phetmalaikul,9,1387,1000,0.928553794342766,0.7246209144181192,1166,753,8477,4762,39,16,210,94,118,59,568,295,43,25,90,44,5,2,0.0,0.7142857142857143
Jack Lisowski,Jenson Kendrick,9,1502,963,0.977701832984694,0.7937206082453278,757,462,4891,2676,55,17,304,121,286,156,1026,548,63,16,203,82,5,0,0.0,1.0
Oliver Lines,Reanne Evans,9,1333,981,0.9093332984262056,0.7068222210935676,345,164,2072,1015,199,61,1118,439,134,70,432,217,84,34,216,66,5,0,0.0,1.0
Rod Lawler,Jimmy Robertson,9,1225,1419,0.2283093047479645,0.3810721451998096,924,478,6770,3444,708,389,4629,2418,72,33,286,136,222,123,696,379,5,4,0.0,0.5555555555555556
Sanderson Lam,Tian Pengfei,9,1237,1362,0.3152665769470101,0.4225046348141883,246,95,1477,646,540,301,3536,1873,158,81,422,202,149,79,454,228,5,3,0.0,0.625
Pang Junxu,Stan Moody,9,1422,1021,0.9352601291577348,0.7315498244408544,128,69,795,410,27,8,149,61,231,132,571,315,74,25,134,55,5,1,0.0,0.8333333333333334
Ding Junhui,Ashley Hugill,9,1524,1299,0.8056549199917152,0.6370307944803831,949,632,7264,4146,233,104,1385,660,178,95,658,372,148,70,486,234,5,3,0.0,0.625
Victor Sarkis,Mark Joyce,9,925,1259,0.10201194266358193,0.3025888856041177,15,1,77,15,608,312,4219,2118,59,11,77,15,97,48,404,190,1,5,1.0,0.16666666666666663
Mostafa Dorgham,Jak Jones,9,968,1408,0.04872505520710835,0.2497398944048823,2,0,14,0,355,167,2262,1059,4,0,4,0,219,120,606,315,2,5,1.0,0.2857142857142857
Liam Pullen,Jamie Jones,9,1055,1344,0.13506867510337972,0.3268427036298682,25,14,148,74,644,383,4196,2270,78,40,148,74,176,84,617,326,4,5,1.0,0.4444444444444444
Wang Xinzhong,Si Jiahui,9,1000,1448,0.04588718406258763,0.24601128355105184,0,0,0,0,137,71,886,469,0,0,0,0,272,153,636,339,2,5,1.0,0.2857142857142857
Aaron Hill,Joe Perry,9,1239,1398,0.2705791923598182,0.4019131396677965,93,40,531,247,1357,794,9333,5051,135,68,408,195,217,114,768,394,5,0,0.0,1.0
Jimmy White,Liam Highfield,9,1200,1291,0.36299114537134236,0.4433690400777467,1554,838,12949,6705,495,261,3305,1713,119,51,348,147,81,37,451,219,1,5,1.0,0.16666666666666663
Dylan Emery,John Higgins,9,1200,1599,0.06566533892861959,0.2694332350413655,89,38,489,237,1795,1268,13996,8255,90,41,342,166,315,188,1333,776,1,5,1.0,0.16666666666666663
Barry Hawkins,Louis Heathcote,9,1551,1257,0.8689474848283985,0.6759015277259407,1287,804,8854,4955,175,81,975,476,209,121,893,506,157,86,449,219,5,1,0.0,0.8333333333333334
Mohammed Asif,Lyu Haotian,9,1101,1409,0.12027000626780515,0.31647910626368436,47,18,308,143,303,151,1948,964,73,24,136,60,161,84,561,297,2,5,1.0,0.2857142857142857
Wang Xinbo,Anthony Hamilton,9,1000,1327,0.10670616749850448,0.3062945980446018,0,0,0,0,1024,583,7535,3976,0,0,0,0,145,68,494,247,0,5,1.0,0.0
Kyren Wilson,He Guoqiang,9,1607,1146,0.9584268498833608,0.7599672558590728,956,609,6102,3444,31,18,171,89,313,190,1376,788,88,57,88,57,4,5,1.0,0.4444444444444444
Xiao Guodong,Alexander Ursenbacher,9,1456,1301,0.7243399491478313,0.5956807306078472,714,415,4466,2450,256,118,1544,739,330,177,854,459,109,58,378,187,5,0,0.0,1.0
Marco Fu,Hossein Vafaei,9,1339,1456,0.3262457443848045,0.4273919361367398,945,553,7048,3817,289,173,2007,1054,60,22,182,86,258,144,716,394,5,4,0.0,0.5555555555555556
Adam Duffy,Tom Ford,9,1122,1411,0.13506867510337972,0.3268427036298682,416,201,2614,1301,894,510,6057,3232,104,41,220,93,267,139,835,447,2,5,1.0,0.2857142857142857
Graeme Dott,Julien Leclercq,9,1388,1144,0.8247868019279315,0.6479408020806503,1154,674,8293,4463,45,21,224,106,141,72,693,359,93,48,204,97,5,3,0.0,0.625
Ma Hailong,Scott Donaldson,9,1061,1363,0.12480808315129632,0.31973280330135145,12,4,78,35,464,247,2952,1503,78,35,78,35,141,74,618,309,1,5,1.0,0.16666666666666663
Long Zehuang,Ryan Day,9,1111,1396,0.13834484781865153,0.32904666709422237,37,18,193,94,1262,747,8322,4537,34,16,34,16,214,105,814,427,3,5,1.0,0.375
Liam Graham,Mark Davis,9,1012,1327,0.1151312262205183,0.3127057198027958,32,12,169,73,1282,762,8823,4795,48,17,138,57,149,77,476,233,1,5,1.0,0.16666666666666663
Dominic Dale,Rebecca Kenna,9,1291,860,0.9479079941487858,0.7460205900722962,1076,596,7461,3925,29,3,147,32,100,52,413,195,54,7,133,30,5,0,0.0,1.0
Sam Craigie,Yisong Peng,9,1405,1042,0.9157672237913764,0.7124883131320702,325,173,1927,1008,27,7,169,64,114,61,507,270,115,48,169,64,5,1,0.0,0.8333333333333334
Mohamed Ibrahim,Jamie Clarke,9,984,1316,0.10333677534147578,0.3036450701761658,21,4,135,46,306,152,1796,896,80,29,101,37,95,45,465,227,0,5,1.0,0.0
Gong Chenzhi,Daniel Womersley,9,1044,1111,0.3981395354693051,0.4582226307163632,8,6,44,27,93,46,449,221,44,27,44,27,30,19,151,76,5,3,0.0,0.625
Ashley Carty,Gary Wilson,9,1289,1394,0.3430128792435541,0.4347492524329001,252,119,1460,719,668,384,4272,2299,75,41,287,136,211,108,741,381,5,3,0.0,0.625
Ali Carter,Yulu Bai,9,1452,1027,0.94555735872979,0.7431680086124811,1256,770,8478,4682,5,3,33,18,289,164,999,572,33,18,33,18,5,2,0.0,0.7142857142857143
Fan Zhengyi,Stuart Carrington,9,1350,1288,0.5944158213362585,0.5386726052065081,139,56,904,397,491,264,3079,1608,180,99,512,256,122,68,445,232,1,5,1.0,0.16666666666666663
Ian Burns,Ricky Walden,9,1215,1358,0.2911925553363697,0.4115648798723618,472,231,2961,1469,1110,660,7490,4104,106,48,417,195,226,109,822,446,5,3,0.0,0.625
Robbie Williams,Alfie Burden,9,1442,1256,0.7623857644063682,0.6141996427768952,526,282,3353,1724,786,411,5587,2841,176,103,478,259,149,81,338,162,0,5,1.0,0.0
Jordan Brown,Himanshu Jain,9,1316,941,0.9223700263151574,0.7185943925708561,301,155,1832,917,25,6,130,41,202,94,722,375,56,8,130,41,5,1,0.0,0.8333333333333334
James Cahill,Stuart Bingham,9,1290,1457,0.26056696281087244,0.39711513267253384,309,130,1909,892,1456,920,10074,5716,136,68,471,234,252,131,1042,564,3,5,1.0,0.375
Ahmed Aly Elsayed,Zhang Anda,9,969,1404,0.05057236052323877,0.25208933695436275,5,0,20,2,429,215,2950,1491,20,2,20,2,187,108,440,240,3,5,1.0,0.375
Mark Allen,John Astley,9,1532,1284,0.828649321563008,0.6502185485738271,1019,674,7178,4078,339,155,2090,993,240,128,934,538,131,62,438,216,5,3,0.0,0.625
Xing Zihao,Michael White,9,996,1367,0.0797835686919133,0.2834321854422854,5,1,24,9,674,371,4352,2267,24,9,24,9,133,66,524,273,5,4,0.0,0.5555555555555556
Zhou Yuelong,Anthony Hamilton,9,1384,1327,0.5869351044529159,0.5355648379838539,459,272,2879,1548,1024,583,7535,3976,245,118,808,430,145,68,494,247,5,0,0.0,1.0
Marco Fu,Wu Yize,9,1339,1342,0.49538585033173443,0.4981250087890131,945,553,7048,3817,78,37,552,278,60,22,182,86,151,78,404,215,3,5,1.0,0.375
