player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage,tournament_id,p1_frames_win_rate,p2_frames_win_rate,p1_matches_win_rate,p2_matches_win_rate
Cao Yupeng,Jiang Jun,9,1411,1044,0.9180156886314788,0.7145324397353954,341,179,2302,1187,6,2,32,17,175,98,446,242,32,17,32,17,5,0,0.0,1.0,5808,0.5156385751520417,0.53125,0.5249266862170088,0.3333333333333333
Siripaporn Nuanthakhamjan,Zhou Yuelong,9,965,1384,0.0568805956471691,0.2597054583325499,3,0,23,4,459,272,2879,1548,23,4,23,4,245,118,808,430,2,5,1.0,0.2857142857142857,5808,0.17391304347826086,0.5376866967697117,0.0,0.5925925925925926
Wu Yize,Allan Taylor,9,1342,1237,0.6569871207564459,0.5652507475670999,78,37,552,278,421,194,2449,1172,151,78,404,215,101,49,336,147,5,3,0.0,0.625,5808,0.5036231884057971,0.47856267864434465,0.47435897435897434,0.46080760095011875
Ben Woollaston,Oliver Brown,9,1412,1146,0.8453183804092873,0.660382673079216,803,454,5053,2683,259,116,1391,660,163,85,534,282,91,35,235,97,5,2,0.0,0.7142857142857143,5808,0.5309716999802098,0.4744787922358016,0.5653798256537983,0.44787644787644787
Andres Petrov,Mark Williams,9,1045,1611,0.0177648837679526,0.1954466227264377,51,18,304,127,1751,1151,12775,7339,79,25,167,61,281,170,1112,649,2,5,1.0,0.2857142857142857,5808,0.41776315789473684,0.574481409001957,0.35294117647058826,0.6573386636207881
Michael White,Andrew Pagett,9,1367,1144,0.8035658834232549,0.6358738914270539,674,371,4352,2267,324,143,2067,981,133,66,524,273,133,60,280,111,5,3,0.0,0.625,5808,0.5209099264705882,0.4746008708272859,0.5504451038575667,0.44135802469135804
Daniel Wells,Matthew Stevens,9,1377,1407,0.4539653256740722,0.4812587841214648,494,247,3225,1611,1103,638,8355,4536,147,83,381,209,160,87,516,273,5,1,0.0,0.8333333333333334,5808,0.49953488372093025,0.5429084380610413,0.5,0.5784224841341795
Mink Nutcharut,Chris Wakelin,9,977,1435,0.042536894617421,0.241403538121065,26,2,145,42,361,193,2337,1201,78,23,144,42,252,145,620,326,2,5,1.0,0.2857142857142857,5808,0.2896551724137931,0.5139067180145486,0.07692307692307693,0.5346260387811634
Thor Chuan Leong,Thepchaiya Un-Nooh,9,1206,1448,0.1771660475755011,0.3532006074420143,159,57,987,433,531,310,3671,1956,44,27,74,47,177,102,584,311,2,5,1.0,0.2857142857142857,5808,0.4387031408308004,0.53282484336693,0.3584905660377358,0.583804143126177
Lukas Kleckers,Judd Trump,9,1251,1586,0.1013544096776086,0.3020615739919092,203,84,1153,516,1376,979,9380,5647,131,66,436,204,356,218,1419,868,1,5,1.0,0.1666666666666666,5808,0.44752818733738076,0.6020255863539445,0.41379310344827586,0.7114825581395349
Elliot Slessor,David Lilley,9,1290,1276,0.5215222176025543,0.5087491068802403,326,155,2006,970,227,113,1336,674,174,92,481,236,124,57,467,228,5,0,0.0,1.0,5808,0.4835493519441675,0.5044910179640718,0.4754601226993865,0.4977973568281938
Anthony McGill,Ishpreet Singh Chadha,9,1475,1154,0.8891414855085585,0.6905090012275708,727,433,4826,2627,18,13,85,58,196,108,743,403,85,58,85,58,4,5,1.0,0.4444444444444444,5808,0.5443431413178615,0.6823529411764706,0.5955983493810179,0.7222222222222222
Yuan Sijun,Ross Muir,9,1424,1259,0.7369488869894564,0.6016871801828567,232,118,1462,743,266,106,1666,769,107,59,493,276,104,52,388,202,5,1,0.0,0.8333333333333334,5808,0.5082079343365253,0.4615846338535414,0.5086206896551724,0.39849624060150374
Anton Kazakov,Xu Si,9,973,1341,0.0814296740357848,0.2849578942990102,26,3,153,47,169,68,1072,486,77,24,153,47,126,65,390,189,3,5,1.0,0.375,5808,0.30718954248366015,0.4533582089552239,0.11538461538461539,0.40236686390532544
Sean O'Sullivan,Matthew Selt,9,1080,1406,0.107389927440339,0.3068260506740499,268,101,1667,735,833,450,5357,2787,92,34,198,80,361,185,885,454,3,5,1.0,0.375,5808,0.4409118176364727,0.520253873436625,0.376865671641791,0.5402160864345739
Andy Lee,Mark Selby,9,1122,1591,0.0390934218687047,0.2364033948403729,186,82,1112,509,1500,1028,10722,6248,90,33,212,95,409,230,1258,712,0,5,1.0,0.0,5808,0.4577338129496403,0.582727103152397,0.44086021505376344,0.6853333333333333
Noppon Saengkham,Andrew Higginson,9,1449,1352,0.6456229970128096,0.5603296426885532,421,219,2862,1439,858,496,5953,3234,256,137,629,333,128,70,403,218,5,3,0.0,0.625,5808,0.5027952480782669,0.5432555014278515,0.5201900237529691,0.578088578088578
Ryan Thomerson,Neil Robertson,9,978,1452,0.0376085684834096,0.2341543741802029,57,15,335,129,1220,814,9010,5189,86,33,164,60,212,105,925,525,0,5,1.0,0.0,5808,0.3850746268656716,0.5759156492785794,0.2631578947368421,0.6672131147540984
Liu Hongyu,Jackson Page,9,1131,1355,0.1953878167071532,0.3635474597184336,17,11,83,51,167,82,1064,524,40,26,83,51,148,79,509,262,3,5,1.0,0.375,5808,0.6144578313253012,0.4924812030075188,0.6470588235294118,0.49101796407185627
Ronnie O'Sullivan,Ken Doherty,9,1614,1246,0.9185703259642152,0.7150421057009898,1471,1120,12690,7745,1269,739,10005,5404,143,87,1049,622,137,63,384,168,5,1,0.0,0.8333333333333334,5808,0.6103230890464934,0.5401299350324837,0.761386811692726,0.582348305752561
Martin O'Donnell,David Grace,9,1313,1311,0.5030761398318634,0.5012499973958399,468,234,2901,1465,461,216,3004,1462,79,42,360,183,142,68,424,204,5,2,0.0,0.7142857142857143,5808,0.5049982764563944,0.4866844207723036,0.5,0.4685466377440347
Joe O'Connor,Dean Young,9,1387,1076,0.8819527499348307,0.6851410567502929,247,119,1578,784,85,34,434,187,187,101,554,285,127,59,331,136,5,0,0.0,1.0,5808,0.4968314321926489,0.4308755760368664,0.4817813765182186,0.4
Robert Milkins,Zak Surety,9,1414,1220,0.7716906952520353,0.6189278548001903,1097,637,7616,4085,223,100,1261,598,420,213,811,413,106,47,360,164,5,2,0.0,0.7142857142857143,5808,0.5363707983193278,0.4742268041237113,0.5806745670009116,0.4484304932735426
Andy Hicks,Hammad Miah,9,1250,1220,0.5460346743259278,0.5187412158785352,743,391,5700,2915,263,105,1690,762,108,51,395,174,101,44,386,188,3,5,1.0,0.375,5808,0.5114035087719299,0.450887573964497,0.5262449528936743,0.39923954372623577
Shaun Murphy,Ben Mertens,9,1588,1251,0.8999509265382928,0.698991483509048,1321,872,9536,5427,77,38,449,231,304,188,932,539,174,97,321,171,2,5,1.0,0.2857142857142857,5808,0.569106543624161,0.5144766146993318,0.660105980317941,0.4935064935064935
Stephen Maguire,Manasawin Phetmalaikul,9,1387,1000,0.928553794342766,0.7246209144181192,1166,753,8477,4762,39,16,210,94,118,59,568,295,43,25,90,44,5,2,0.0,0.7142857142857143,5808,0.5617553379733397,0.44761904761904764,0.6457975986277873,0.41025641025641024
Jack Lisowski,Jenson Kendrick,9,1502,963,0.977701832984694,0.7937206082453278,757,462,4891,2676,55,17,304,121,286,156,1026,548,63,16,203,82,5,0,0.0,1.0,5808,0.5471273768145574,0.3980263157894737,0.6103038309114928,0.3090909090909091
Reanne Evans,Oliver Lines,9,981,1333,0.0906667015737944,0.2931777789064324,199,61,1118,439,345,164,2072,1015,84,34,216,66,134,70,432,217,0,5,1.0,0.0,5808,0.3926654740608229,0.48986486486486486,0.3065326633165829,0.4753623188405797
Jimmy Robertson,Rod Lawler,9,1419,1225,0.7716906952520355,0.6189278548001904,708,389,4629,2418,924,478,6770,3444,222,123,696,379,72,33,286,136,4,5,1.0,0.4444444444444444,5808,0.5223590408295529,0.5087149187592319,0.5494350282485876,0.5173160173160173
Tian Pengfei,Sanderson Lam,9,1362,1237,0.6847334230529899,0.5774953651858117,540,301,3536,1873,246,95,1477,646,149,79,454,228,158,81,422,202,3,5,1.0,0.375,5808,0.5296945701357466,0.43737305348679756,0.5574074074074075,0.3861788617886179
Pang Junxu,Stan Moody,9,1422,1021,0.9352601291577348,0.7315498244408544,128,69,795,410,27,8,149,61,231,132,571,315,74,25,134,55,5,1,0.0,0.8333333333333334,5808,0.5157232704402516,0.40939597315436244,0.5390625,0.2962962962962963
Ding Junhui,Ashley Hugill,9,1524,1299,0.8056549199917152,0.6370307944803831,949,632,7264,4146,233,104,1385,660,178,95,658,372,148,70,486,234,5,3,0.0,0.625,5808,0.5707599118942731,0.47653429602888087,0.6659641728134879,0.44635193133047213
Mark Joyce,Victor Sarkis,9,1259,925,0.8979880573364181,0.6974111143958823,608,312,4219,2118,15,1,77,15,97,48,404,190,59,11,77,15,5,1,0.0,0.8333333333333334,5808,0.5020146954254563,0.19480519480519481,0.5131578947368421,0.06666666666666667
Mostafa Dorgham,Jak Jones,9,968,1408,0.0487250552071083,0.2497398944048823,2,0,14,0,355,167,2262,1059,4,0,4,0,219,120,606,315,2,5,1.0,0.2857142857142857,5808,0.0,0.46816976127320953,0.0,0.4704225352112676
