,Player1,Player2,Score1,Score2,Best Of,Round Name,Match Date,Tournament Name,Tournament id,Year
0,Zhao Xintong,Jamie Jones,4,2,7,Last 32,2020-12-16,2020 World Grand Prix,4174,2020
1,Kyren Wilson,Kurt Maflin,4,2,7,Last 32,2020-12-15,2020 World Grand Prix,4174,2020
2,Hossein Vafaei,Zhou Yuelong,4,3,7,Last 32,2020-12-16,2020 World Grand Prix,4174,2020
3,Judd Trump,Michael Holt,4,3,7,Last 32,2020-12-15,2020 World Grand Prix,4174,2020
4,Mark Selby,Liang Wenbo,4,3,7,Last 32,2020-12-16,2020 World Grand Prix,4174,2020
5,Ronnie O'Sullivan,Ali Carter,4,1,7,Last 32,2020-12-15,2020 World Grand Prix,4174,2020
6,Lu Ning,Robbie Williams,4,3,7,Last 32,2020-12-15,2020 World Grand Prix,4174,2020
7,Robert Milkins,Neil Robertson,4,2,7,Last 32,2020-12-14,2020 World Grand Prix,4174,2020
8,Anthony McGill,Joe Perry,4,2,7,Last 32,2020-12-14,2020 World Grand Prix,4174,2020
9,Jack Lisowski,Shaun Murphy,4,2,7,Last 32,2020-12-16,2020 World Grand Prix,4174,2020
10,Ding Junhui,Jak Jones,4,0,7,Last 32,2020-12-15,2020 World Grand Prix,4174,2020
11,John Higgins,Xiao Guodong,4,2,7,Last 32,2020-12-14,2020 World Grand Prix,4174,2020
12,Barry Hawkins,Ricky Walden,4,1,7,Last 32,2020-12-14,2020 World Grand Prix,4174,2020
13,Martin Gould,Mark Allen,4,3,7,Last 32,2020-12-15,2020 World Grand Prix,4174,2020
14,Yan Bingtao,David Grace,4,3,7,Last 32,2020-12-15,2020 World Grand Prix,4174,2020
15,Stuart Bingham,Li Hang,4,2,7,Last 32,2020-12-15,2020 World Grand Prix,4174,2020
16,Zhao Xintong,John Higgins,4,3,7,Last 16,2020-12-17,2020 World Grand Prix,4174,2020
17,Kyren Wilson,Yan Bingtao,4,1,7,Last 16,2020-12-16,2020 World Grand Prix,4174,2020
18,Hossein Vafaei,Ding Junhui,4,1,7,Last 16,2020-12-17,2020 World Grand Prix,4174,2020
19,Judd Trump,Stuart Bingham,4,3,7,Last 16,2020-12-16,2020 World Grand Prix,4174,2020
20,Mark Selby,Anthony McGill,4,2,7,Last 16,2020-12-17,2020 World Grand Prix,4174,2020
21,Ronnie O'Sullivan,Barry Hawkins,4,1,7,Last 16,2020-12-16,2020 World Grand Prix,4174,2020
22,Jack Lisowski,Robert Milkins,4,0,7,Last 16,2020-12-17,2020 World Grand Prix,4174,2020
23,Martin Gould,Lu Ning,4,1,7,Last 16,2020-12-16,2020 World Grand Prix,4174,2020
24,Judd Trump,Martin Gould,5,2,9,Quarter-final,2020-12-17,2020 World Grand Prix,4174,2020
25,Mark Selby,Hossein Vafaei,5,3,9,Quarter-final,2020-12-18,2020 World Grand Prix,4174,2020
26,Ronnie O'Sullivan,Kyren Wilson,5,3,9,Quarter-final,2020-12-17,2020 World Grand Prix,4174,2020
27,Jack Lisowski,Zhao Xintong,5,3,9,Quarter-final,2020-12-18,2020 World Grand Prix,4174,2020
28,Judd Trump,Ronnie O'Sullivan,6,1,11,Semi-final,2020-12-18,2020 World Grand Prix,4174,2020
