,Name,Tournaments Played,Matches Played,Matches Won,Match-win percentage
0,Judd Trump,20,90,69,76.67%
1,John Higgins,16,78,55,70.51%
2,Ali Carter,21,75,51,68%
3,Matthew Selt,17,93,51,54.84%
4,Robert Milkins,22,90,45,50%
5,Chris Wakelin,18,64,44,68.75%
6,Kyren Wilson,21,68,43,63.24%
7,Jack Lisowski,18,66,42,63.64%
8,Mark Selby,19,67,42,62.69%
9,Tom Ford,18,64,40,62.5%
10,Zhou Yuelong,20,71,40,56.34%
11,Mark Williams,20,59,39,66.1%
12,Noppon Saengkham,18,64,39,60.94%
13,Xiao Guodong,18,76,39,51.32%
14,Zhang Anda,17,55,38,69.09%
15,Mark Allen,20,54,37,68.52%
16,Shaun Murphy,21,58,37,63.79%
17,Barry Hawkins,18,56,34,60.71%
18,Stuart Bingham,19,63,34,53.97%
19,Ronnie O'Sullivan,11,41,33,80.49%
20,Hossein Vafaei,18,52,33,63.46%
21,Ding Junhui,17,49,32,65.31%
22,Pang Junxu,17,50,31,62%
23,Si Jiahui,17,49,30,61.22%
24,Lyu Haotian,19,52,29,55.77%
25,Ricky Walden,18,55,29,52.73%
26,Cao Yupeng,16,48,28,58.33%
27,Gary Wilson,21,54,28,51.85%
28,David Gilbert,17,49,27,55.1%
29,Luca Brecel,16,41,26,63.41%
30,Robbie Williams,17,45,26,57.78%
31,Jimmy Robertson,17,49,26,53.06%
32,Dominic Dale,15,40,25,62.5%
33,Yuan Sijun,16,41,25,60.98%
34,Daniel Wells,15,42,25,59.52%
35,Jordan Brown,17,55,25,45.45%
36,Anthony McGill,14,41,24,58.54%
37,Elliot Slessor,16,41,24,58.54%
38,Thepchaiya Un-Nooh,16,42,24,57.14%
39,Stephen Maguire,13,39,23,58.97%
40,Joe O'Connor,18,42,23,54.76%
41,Neil Robertson,15,48,23,47.92%
42,Ryan Day,21,50,23,46%
43,Michael White,16,39,22,56.41%
44,Mark Davis,16,39,22,56.41%
45,Fan Zhengyi,17,40,22,55%
46,Jamie Jones,18,47,22,46.81%
47,He Guoqiang,11,31,21,67.74%
48,Jak Jones,16,40,21,52.5%
49,Joe Perry,18,46,21,45.65%
50,Sanderson Lam,16,39,20,51.28%
51,Louis Heathcote,18,36,19,52.78%
52,Oliver Lines,16,36,19,52.78%
53,Martin O'Donnell,11,31,18,58.06%
54,Julien Leclercq,15,33,18,54.55%
55,Graeme Dott,15,34,18,52.94%
56,Alfie Burden,17,34,18,52.94%
57,Aaron Hill,16,35,18,51.43%
58,Ben Woollaston,16,37,18,48.65%
59,Scott Donaldson,14,33,17,51.52%
60,Tian Pengfei,16,33,17,51.52%
61,Lukas Kleckers,16,34,17,50%
62,Jackson Page,16,34,17,50%
63,Stuart Carrington,17,34,17,50%
64,Sam Craigie,15,35,17,48.57%
65,Ben Mertens,16,35,17,48.57%
66,Wu Yize,16,33,16,48.48%
67,Xu Si,16,33,16,48.48%
68,Iulian Boiko,7,22,15,68.18%
69,Ishpreet Singh Chadha,12,27,15,55.56%
70,Dylan Emery,16,31,15,48.39%
71,Jamie Clarke,16,31,15,48.39%
72,Alexander Ursenbacher,17,32,15,46.88%
73,Matthew Stevens,16,34,15,44.12%
74,Anthony Hamilton,16,34,15,44.12%
75,Barry Pinches,12,29,14,48.28%
76,Dean Young,18,33,14,42.42%
77,Liu Hongyu,10,23,13,56.52%
78,Ashley Carty,10,26,13,50%
79,Andrew Higginson,14,27,13,48.15%
80,David Lilley,16,30,13,43.33%
81,David Grace,16,31,13,41.94%
82,James Cahill,16,32,13,40.63%
83,Liam Pullen,12,24,12,50%
84,Steven Hallworth,10,24,12,50%
85,Ross Muir,14,28,12,42.86%
86,Duane Jones,14,28,12,42.86%
87,Hammad Miah,16,30,12,40%
