,Name,Tournaments Played,Matches Played,Matches Won,Match-win percentage
0,Judd Trump,19,103,84,81.55%
1,Kyren Wilson,19,102,70,68.63%
2,Neil Robertson,17,75,55,73.33%
3,Mark Selby,20,83,54,65.06%
4,Graeme Dott,13,78,44,56.41%
5,John Higgins,17,65,42,64.62%
6,Ronnie O'Sullivan,12,48,37,77.08%
7,Barry Hawkins,17,61,37,60.66%
8,Stuart Bingham,18,65,37,56.92%
9,Mark Williams,14,57,36,63.16%
10,Shaun Murphy,17,50,33,66%
11,Tom Ford,15,62,33,53.23%
12,Zhou Yuelong,13,49,32,65.31%
13,Scott Donaldson,15,52,32,61.54%
14,Anthony McGill,15,55,31,56.36%
15,Gary Wilson,14,55,30,54.55%
16,Yan Bingtao,16,45,29,64.44%
17,Joe Perry,18,64,28,43.75%
18,Ding Junhui,14,41,27,65.85%
19,Zhao Xintong,13,43,27,62.79%
20,Liang Wenbo,15,42,25,59.52%
21,Mark Allen,18,42,24,57.14%
22,Ben Woollaston,14,46,24,52.17%
23,Luca Brecel,15,47,24,51.06%
24,Michael Holt,17,41,23,56.1%
25,Xiao Guodong,14,42,23,54.76%
26,Jack Lisowski,17,49,23,46.94%
27,David Gilbert,17,54,23,42.59%
28,Martin Gould,13,37,22,59.46%
29,Ali Carter,16,43,22,51.16%
30,Thepchaiya Un-Nooh,14,36,20,55.56%
31,Lyu Haotian,13,37,20,54.05%
32,Jamie Clarke,13,37,20,54.05%
33,Matthew Selt,15,47,20,42.55%
34,Jamie Jones,10,27,19,70.37%
35,David Grace,14,36,19,52.78%
36,Elliot Slessor,12,30,18,60%
37,Martin O'Donnell,13,32,18,56.25%
38,Michael White,15,35,18,51.43%
39,Robert Milkins,15,41,18,43.9%
40,Ryan Day,13,47,18,38.3%
41,Li Hang,13,32,17,53.13%
42,Matthew Stevens,11,28,16,57.14%
43,Rory McLeod,11,29,16,55.17%
44,Robbie Williams,13,32,16,50%
45,Stephen Maguire,15,32,16,50%
46,Simon Lichtenberg,15,29,15,51.72%
47,Lu Ning,13,29,15,51.72%
48,Dominic Dale,13,31,15,48.39%
49,Kurt Maflin,14,32,15,46.88%
50,Jak Jones,14,33,15,45.45%
51,Alexander Ursenbacher,11,28,14,50%
52,Tian Pengfei,11,29,14,48.28%
53,Oliver Lines,16,29,14,48.28%
54,Mark Joyce,13,29,14,48.28%
55,Ashley Carty,13,31,14,45.16%
56,Ricky Walden,15,34,14,41.18%
57,Steven Hallworth,9,21,13,61.9%
58,Allan Taylor,8,22,13,59.09%
59,Peter Devlin,10,22,13,59.09%
60,Akani Songsermsawad,11,24,13,54.17%
61,Jordan Brown,13,31,13,41.94%
62,Jimmy Robertson,14,32,13,40.63%
63,Leo Fernandez,6,18,12,66.67%
64,Alfie Burden,10,23,12,52.17%
65,Noppon Saengkham,11,25,12,48%
66,Liam Highfield,13,27,12,44.44%
67,Jackson Page,13,28,12,42.86%
68,Zak Surety,9,19,11,57.89%
69,Farakh Ajaib,9,20,11,55%
70,Andrew Higginson,12,24,11,45.83%
71,Hossein Vafaei,13,24,11,45.83%
72,Ian Burns,13,26,11,42.31%
73,Mark Davis,13,27,11,40.74%
74,Lee Walker,16,28,11,39.29%
75,Brian Ochoiski,10,21,10,47.62%
76,Craig Steadman,10,22,10,45.45%
77,Igor Figueiredo,12,23,10,43.48%
78,Fan Zhengyi,15,23,10,43.48%
79,Sam Craigie,12,24,10,41.67%
80,Gerard Greene,13,26,10,38.46%
81,Joe O'Connor,14,27,10,37.04%
82,Ken Doherty,13,28,10,35.71%
83,Jamie Barrett,5,16,9,56.25%
84,Anthony Hamilton,9,17,9,52.94%
85,Oliver Brown,6,17,9,52.94%
86,Ben Hancorn,9,18,9,50%
87,Ashley Hugill,9,20,9,45%
88,Paul Davison,12,23,9,39.13%
89,Mark King,13,31,9,29.03%
90,Patrick Wallace,4,12,8,66.67%
91,Dean Young,5,13,8,61.54%
92,Daniel Womersley,5,14,8,57.14%
93,Ross Bulman,7,15,8,53.33%
94,Hammad Miah,10,19,8,42.11%
95,Yuan Sijun,11,20,8,40%
96,Thor Chuan Leong,10,20,8,40%
97,Harvey Chandler,10,21,8,38.1%
98,Fergal O'Brien,12,22,8,36.36%
99,John Astley,11,22,8,36.36%
100,Nigel Bond,13,25,8,32%
101,Robert James,3,10,7,70%
102,Ian Martin,4,11,7,63.64%
103,Mei Xiwen,5,12,7,58.33%
104,Antoni Kowalski,5,12,7,58.33%
105,Kuldesh Johal,4,13,7,53.85%
106,Jamie Wilson,9,17,7,41.18%
107,Sam Baird,10,18,7,38.89%
108,Andy Hicks,11,18,7,38.89%
109,Chang Bingyu,11,19,7,36.84%
110,David Lilley,11,19,7,36.84%
111,Michael Georgiou,10,19,7,36.84%
112,Chen Zifan,11,20,7,35%
113,Luo Honghao,12,21,7,33.33%
114,Eden Sharav,12,21,7,33.33%
115,Jamie O'Neill,12,21,7,33.33%
116,Mitchell Mann,13,23,7,30.43%
117,Jake Nicholson,4,10,6,60%
118,Ben Mertens,5,11,6,54.55%
119,Florian Nüßle,6,12,6,50%
