player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage,tournament_id
Chen Zifan,Farakh Ajaib,5,1168,1046,0.6397196107539715,0.5756643510425494,147,62,840,368,97,42,509,230,78,31,357,153,53,14,224,92,3,0,0.0,1.0,4494
Jianbo Zhao,Anthony McGill,5,1189,1449,0.22438619147561534,0.34298953732650117,34,14,180,88,654,389,4279,2326,77,39,180,88,196,102,872,459,3,1,0.0,0.75,4494
Cao Yupeng,Zhao Xintong,5,1447,1420,0.5316046253622031,0.5168685956913849,273,143,1889,967,288,162,1838,1004,33,22,33,22,152,77,669,372,3,2,0.0,0.6,4494
Zhou Yuelong,Tom Ford,5,1471,1431,0.5467581048282663,0.52497918747894,356,210,2252,1219,798,454,5430,2898,181,101,742,416,208,113,852,452,3,2,0.0,0.6,4494
Wu Yize,Fraser Patrick,5,1083,1194,0.3723786733374611,0.43106679063045344,21,6,148,63,259,104,1627,744,0,0,148,63,101,49,286,128,3,0,0.0,1.0,4494
Gary Wilson,Fergal O'Brien,5,1368,1248,0.6375307498125332,0.574442516811659,569,330,3690,1991,974,539,7191,3753,159,73,871,466,113,54,444,208,3,0,0.0,1.0,4494
Mark Williams,Tian Pengfei,5,1551,1416,0.6538232022339039,0.5835831155172753,1642,1074,12017,6889,479,268,3165,1686,354,199,1041,579,83,41,480,255,3,0,0.0,1.0,4494
Robbie Williams,Akani Songsermsawad,5,1323,1363,0.4532418951717338,0.47502081252106,456,240,2959,1505,187,99,1235,630,84,40,495,251,87,48,412,214,3,1,0.0,0.75,4494
Jimmy White,Aaron Hill,5,1206,1077,0.6473410927124849,0.5799334001885058,1509,823,12680,6594,32,12,178,75,79,36,366,149,55,23,178,75,3,0,0.0,1.0,4494
Liang Wenbo,Simon Lichtenberg,5,1427,1189,0.7562477136185467,0.6445115537062945,722,430,5010,2742,98,39,532,239,107,55,643,343,78,41,341,156,3,1,0.0,0.75,4494
Lee Walker,Sanderson Lam,5,1230,1101,0.6473410927124849,0.5799334001885058,550,285,4084,2069,189,71,1127,485,70,29,356,150,72,41,167,74,3,1,0.0,0.75,4494
Ricky Walden,James Cahill,5,1457,1243,0.7340441511188396,0.6306485256510744,1000,593,6821,3745,254,105,1573,725,153,87,682,368,135,67,486,233,3,2,0.0,0.6,4494
Hossein Vafaei,Jamie Jones,5,1357,1434,0.41059388012402437,0.4520230623632036,193,107,1377,700,563,339,3710,2017,86,40,489,250,131,73,288,164,3,1,0.0,0.75,4494
Judd Trump,Mitchell Mann,5,1645,1218,0.8901871339973462,0.7441211943032843,1224,866,8277,4980,321,146,1974,938,316,201,1769,1117,145,78,367,162,3,2,0.0,0.6,4494
Allan Taylor,Alfie Burden,5,1229,1276,0.44511132640850887,0.47065874995421436,374,175,2175,1051,737,391,5284,2703,62,26,305,149,35,24,293,142,3,1,0.0,0.75,4494
Elliot Slessor,Peter Devlin,5,1326,1132,0.7147219959028013,0.6189278548001903,264,124,1608,774,85,40,413,194,83,40,474,241,59,25,230,111,3,1,0.0,0.75,4494
Xu Si,Fan Zhengyi,5,1254,1101,0.6729712107074448,0.5944759307482401,115,42,732,320,77,20,453,166,50,23,332,152,61,25,317,127,3,2,0.0,0.6,4494
Matthew Selt,Thepchaiya Un-Nooh,5,1419,1357,0.5722224657465222,0.538672605206508,708,384,4655,2433,461,270,3204,1701,183,100,711,371,117,56,721,389,3,2,0.0,0.6,4494
Mark Selby,Shaun Murphy,5,1619,1563,0.5653050064173626,0.5349429451582145,1369,941,9802,5724,1223,803,8873,5045,338,188,1557,900,269,157,1051,595,3,2,0.0,0.6,4494
Noppon Saengkham,Sean Maddocks,5,1384,945,0.8962642320262224,0.7497913878870148,334,166,2307,1145,43,11,202,73,74,39,526,276,50,7,151,48,3,0,0.0,1.0,4494
Jimmy Robertson,Mark Joyce,5,1361,1311,0.5583657591830317,0.5312093733737563,614,331,4030,2092,561,293,3931,1984,97,53,587,298,116,56,467,224,3,0,0.0,1.0,4494
